Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Number of Males,Number of Females,Average Age,Local Authority
67F1391,427340,426476,2,15/7/2019,15:30,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,34,E08000035
67F1894,424117,432073,2,15/7/2019,20:00,Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,34,E08000035
67F2127,431315,429061,1,15/7/2019,8:40,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,12,E08000035
67G0582,431371,432380,2,16/7/2019,10:32,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,0,42,E08000035
67G0582,431371,432380,2,16/7/2019,10:32,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,0,42,E08000035
67G0582,431371,432380,2,16/7/2019,10:32,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,0,42,E08000035
67G0892,440471,448400,2,16/7/2019,12:45,Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,27,E08000035
67G1049,425260,432967,2,16/7/2019,14:00,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,51,E08000035
67G1405,440466,448359,2,16/7/2019,15:10,Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,55,E08000035
67H0264,422307,433311,1,17/7/2019,10:32,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,1,0,85,E08000035
67H0398,427753,432619,2,17/7/2019,8:00,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,44,E08000035
67H0587,430085,434197,2,15/7/2019,8:20,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,41,E08000035
67H1717,434639,433494,1,17/7/2019,18:15,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,1,64,E08000035
67I0300,431435,431610,2,18/7/2019,7:51,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,32,E08000035
67I0300,431435,431610,2,18/7/2019,7:51,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,32,E08000035
67I0319,431079,439122,2,18/7/2019,8:15,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,15,E08000035
67I0966,429099,432193,2,18/7/2019,14:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,45,E08000035
67I1557,426403,432010,2,18/7/2019,17:20,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,31,E08000035
67I1682,429032,431772,1,18/7/2019,19:00,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc or less),Driver/Rider,Slight,1,0,23,E08000035
67I1694,437862,432781,4,18/7/2019,19:15,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,4,1,32,E08000035
67I1694,437862,432781,4,18/7/2019,19:15,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,4,1,32,E08000035
67I1694,437862,432781,4,18/7/2019,19:15,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Serious,4,1,32,E08000035
67I1694,437862,432781,4,18/7/2019,19:15,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,4,1,32,E08000035
67I1694,437862,432781,4,18/7/2019,19:15,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,4,1,32,E08000035
67J0353,438065,432892,2,19/7/2019,8:17,Non - Primary Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,22,E08000035
67J0670,430875,434255,2,19/7/2019,16:55,Non - Primary Road,Wet/Damp,Daylight,Raining,Pedal Cycle,Driver/Rider,Slight,1,0,41,E08000035
67J1346,421215,429087,3,19/7/2019,16:35,Non - Primary Road,Wet/Damp,Daylight,Raining,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,53,E08000035
67J1921,424878,444621,1,19/7/2019,20:45,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,2,1,23,E08000035
67J1921,424878,444621,1,19/7/2019,20:45,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Vehicle Passenger,Slight,2,1,23,E08000035
67J1921,424878,444621,1,19/7/2019,20:45,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Vehicle Passenger,Slight,2,1,23,E08000035
67J2062,421542,444314,4,19/7/2019,21:30,Unclassified,Wet/Damp,Dark (unknown lighting),Fine,Car,Driver/Rider,Serious,1,2,62,E08000035
67J2062,421542,444314,4,19/7/2019,21:30,Unclassified,Wet/Damp,Dark (unknown lighting),Fine,Car,Vehicle Passenger,Slight,1,2,62,E08000035
67J2062,421542,444314,4,19/7/2019,21:30,Unclassified,Wet/Damp,Dark (unknown lighting),Fine,Car,Driver/Rider,Serious,1,2,62,E08000035
67J2160,441858,445739,2,19/7/2019,22:56,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,45,E08000035
67K1199,432293,436085,1,20/7/2019,15:35,Unclassified,Dry,Daylight,Fine,Motorcycle-unkown cc,Driver/Rider,Serious,1,0,48,E08000035
67K1420,432911,433351,2,20/7/2019,17:25,Unclassified,Dry,Daylight,Fine,Motorcycle(125cc-500cc),Driver/Rider,Slight,1,0,53,E08000035
67K1480,427218,429828,2,20/7/2019,17:52,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,8,E08000035
67L0743,434111,429948,2,21/7/2019,11:40,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,33,E08000035
67L0743,434111,429948,2,21/7/2019,11:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,33,E08000035
67L1699,430484,437131,1,21/7/2019,19:35,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,51,E08000035
67M0651,432041,428516,2,22/7/2019,11:51,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,1,28,E08000035
67M0651,432041,428516,2,22/7/2019,11:51,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,1,28,E08000035
67M0651,432041,428516,2,22/7/2019,11:51,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,1,28,E08000035
67M0651,432041,428516,2,22/7/2019,11:51,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,1,28,E08000035
67N0603,427834,435807,2,23/7/2019,10:58,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,32,E08000035
67N0881,427955,433625,2,18/7/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,25,E08000035
67N1769,445481,436216,1,23/7/2019,19:00,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,20,E08000035
67N1804,430330,433394,2,23/7/2019,19:20,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,27,E08000035
67O0247,430438,431159,2,24/7/2019,5:50,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,2,1,55,E08000035
67O0247,430438,431159,2,24/7/2019,5:50,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,2,1,55,E08000035
67O0247,430438,431159,2,24/7/2019,5:50,Unclassified,Wet/Damp,Daylight,Raining,Car,Vehicle Passenger,Slight,2,1,55,E08000035
67O0409,421168,444945,2,24/7/2019,8:20,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,2,28,E08000035
67O0409,421168,444945,2,24/7/2019,8:20,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Serious,1,2,28,E08000035
67O0409,421168,444945,2,24/7/2019,8:20,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Vehicle Passenger,Slight,1,2,28,E08000035
67O0704,422448,436372,2,24/7/2019,11:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,18,E08000035
67O0733,433614,434246,2,22/7/2019,22:30,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,19,E08000035
67O1144,432646,435861,2,24/7/2019,15:10,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,35,E08000035
67O1434,427400,431364,2,24/7/2019,16:40,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,33,E08000035
67O1815,423698,437016,2,24/7/2019,19:37,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,16,E08000035
67P0388,425573,435382,1,25/7/2019,8:30,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,77,E08000035
67P1746,432150,436131,2,19/7/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,27,E08000035
67P1746,432150,436131,2,19/7/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,27,E08000035
67P1784,425658,433913,2,25/7/2019,19:00,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,19,E08000035
67P1900,430322,433278,2,25/7/2019,19:45,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,41,E08000035
67Q0590,433310,426326,2,26/7/2019,10:20,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,0,1,45,E08000035
67Q0597,439385,432434,2,26/7/2019,10:20,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,60,E08000035
67Q1299,431508,429644,3,26/7/2019,15:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Serious,1,0,34,E08000035
67R1235,432020,435735,1,27/7/2019,15:30,Road,Wet/Damp,Daylight,Fine,Taxi/Private car,Pedestrian,Slight,0,3,16,E08000035
67R1235,432020,435735,1,27/7/2019,15:30,Road,Wet/Damp,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,3,16,E08000035
67R1235,432020,435735,1,27/7/2019,15:30,Road,Wet/Damp,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,3,16,E08000035
67R1474,431935,430604,1,27/7/2019,18:00,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,1,20,E08000035
67R1711,428014,426151,1,27/7/2019,20:15,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,0,21,E08000035
67R2116,424699,444386,1,27/7/2019,23:45,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,1,22,E08000035
67R2116,424699,444386,1,27/7/2019,23:45,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,1,22,E08000035
67R2116,424699,444386,1,27/7/2019,23:45,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,1,22,E08000035
67S0407,431266,434826,2,28/7/2019,5:40,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,30,E08000035
67S0693,420844,439799,2,28/7/2019,11:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,56,E08000035
67T0004,429179,433842,2,29/7/2019,0:00,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,1,0,34,E08000035
67T0234,430421,433813,1,26/7/2019,19:06,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,51,E08000035
67T0870,424468,437097,2,23/7/2019,16:05,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,42,E08000035
67T1056,430000,434162,2,21/7/2019,12:40,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,0,1,68,E08000035
67T1460,429609,435399,2,29/7/2019,17:00,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,29,E08000035
67U0394,423823,431578,2,3/7/2019,8:28,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,27,E08000035
67U0528,431969,435830,1,31/7/2019,10:06,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Pedestrian,Slight,1,0,8,E08000035
67U1225,432265,442314,2,30/7/2019,15:21,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Serious,0,2,54,E08000035
67U1225,432265,442314,2,30/7/2019,15:21,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,2,54,E08000035
67V0637,432482,434458,1,31/7/2019,11:55,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,4,E08000035
67V1269,428337,434086,1,31/7/2019,8:30,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Slight,1,0,30,E08000035
67V1517,419823,432193,2,31/7/2019,18:40,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,2,0,20,E08000035
67V1517,419823,432193,2,31/7/2019,18:40,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Vehicle Passenger,Serious,2,0,20,E08000035
67V1604,429716,433371,1,31/7/2019,16:15,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Slight,0,1,40,E08000035
6810676,431206,431863,2,31/7/2019,17:30,Non - Primary Road,Wet/Damp,Daylight,Fine,Motorcycle(125cc-500cc),Driver/Rider,Serious,1,0,25,E08000035
6810757,420890,433364,1,1/8/2019,11:35,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,1,0,28,E08000035
6810760,422409,436968,2,1/8/2019,12:25,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,57,E08000035
6811318,435463,425915,4,1/8/2019,16:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,2,45,E08000035
6811318,435463,425915,4,1/8/2019,16:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,2,45,E08000035
6811318,435463,425915,4,1/8/2019,16:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,2,45,E08000035
6811353,425877,426271,2,4/7/2019,8:44,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,63,E08000035
6811573,430404,433693,1,2/8/2019,18:30,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Slight,0,1,27,E08000035
6811650,427419,434985,2,1/8/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
6811650,427419,434985,2,1/8/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
6830273,426524,433718,2,29/8/2019,7:20,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,17,E08000035
6840059,429774,430607,4,4/8/2019,0:29,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,2,31,E08000035
6840059,429774,430607,4,4/8/2019,0:29,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,2,31,E08000035
6841546,435089,435686,3,4/8/2019,17:56,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc or less),Driver/Rider,Slight,1,0,22,E08000035
6851136,433273,437414,2,6/8/2019,14:56,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Serious,1,0,35,E08000035
6851523,430534,432704,2,5/8/2019,17:49,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,33,E08000035
6851610,435642,434464,2,5/8/2019,18:21,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,2,0,16,E08000035
6851610,435642,434464,2,5/8/2019,18:21,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Vehicle Passenger,Slight,2,0,16,E08000035
6851910,427568,436873,2,5/8/2019,20:30,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,29,E08000035
6852157,421358,445776,1,5/8/2019,22:20,Non - Primary Road,Dry,Dark (unlit street),Fine,Car,Driver/Rider,Slight,1,0,21,E08000035
6860470,429284,433491,1,6/8/2019,8:45,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,37,E08000035
6861222,419364,446516,2,6/8/2019,16:17,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,12,E08000035
6870640,443648,437139,1,7/8/2019,11:30,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Serious,0,1,61,E08000035
6871155,427653,436656,2,25/7/2019,17:35,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,28,E08000035
6880467,431776,426356,2,8/8/2019,9:47,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,20,E08000035
6880467,431776,426356,2,8/8/2019,9:47,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,20,E08000035
6880544,426397,433971,1,8/8/2019,10:30,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,39,E08000035
6881540,426387,435618,2,8/8/2019,18:18,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,61,E08000035
6890314,425904,436250,1,9/8/2019,6:25,Non - Primary Road,Wet/Damp,Daylight,Raining,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,41,E08000035
6890539,432046,439740,2,9/8/2019,9:50,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,0,60,E08000035
6891280,440504,447298,1,9/8/2019,16:14,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,26,E08000035
6891280,440504,447298,1,9/8/2019,16:14,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,26,E08000035
68A1357,430930,436028,1,10/8/2019,17:40,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,0,1,47,E08000035
68A1448,424123,444024,2,10/8/2019,18:25,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,21,E08000035
68A1602,428472,433317,3,10/8/2019,19:36,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,64,E08000035
68A1911,436138,435220,3,10/8/2019,21:47,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Serious,0,1,17,E08000035
68B0730,427212,437303,2,11/8/2019,11:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,24,E08000035
68B0740,428980,429767,1,11/8/2019,12:36,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,41,E08000035
68B1033,429412,431639,3,11/8/2019,15:20,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,17,E08000035
68B1524,425936,435568,2,11/8/2019,17:30,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,39,E08000035
68C0406,430490,435970,2,12/8/2019,9:20,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,52,E08000035
68C1193,431343,434943,2,12/8/2019,16:23,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,36,E08000035
68C1375,428419,432512,2,12/8/2019,16:30,Unclassified,Wet/Damp,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,49,E08000035
68C2098,422451,428363,3,12/8/2019,22:48,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Serious,0,1,50,E08000035
68D0573,430675,432499,2,13/8/2019,11:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,1,68,E08000035
68D0573,430675,432499,2,13/8/2019,11:00,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,1,68,E08000035
68D0573,430675,432499,2,13/8/2019,11:00,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,1,68,E08000035
68D1203,432189,432810,1,13/8/2019,16:30,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,51,E08000035
68D1281,431424,435629,4,13/8/2019,17:10,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,21,E08000035
68E1129,431206,437668,2,14/8/2019,16:40,Unclassified,Wet/Damp,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,68,E08000035
68F0455,430234,433401,1,15/8/2019,10:38,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,3,0,33,E08000035
68F0455,430234,433401,1,15/8/2019,10:38,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,3,0,33,E08000035
68F0455,430234,433401,1,15/8/2019,10:38,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,3,0,33,E08000035
68F0812,434620,441231,2,15/8/2019,14:10,Unclassified,Dry,Daylight,Fog/Mist,Car,Driver/Rider,Slight,1,0,70,E08000035
68F1342,426988,426455,3,15/8/2019,18:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,18,E08000035
68F1342,426988,426455,3,15/8/2019,18:00,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,18,E08000035
68F1382,429383,433470,1,15/8/2019,18:15,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,39,E08000035
68G0081,425548,437562,2,15/8/2019,19:35,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,26,E08000035
68G0700,430773,433449,1,18/8/2019,12:25,Non - Primary Road,Wet/Damp,Daylight,Raining,Bus(17 or more passenger seats),Pedestrian,Slight,1,0,51,E08000035
68G0934,440192,426166,3,16/8/2019,14:50,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Serious,0,1,35,E08000035
68G1317,430880,433361,2,16/8/2019,17:48,Non - Primary Road,Wet/Damp,Daylight,Raining,Taxi/Private car,Driver/Rider,Slight,1,0,40,E08000035
68G1931,431137,434297,2,16/8/2019,23:10,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,26,E08000035
68H0058,432661,438017,2,17/8/2019,0:31,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,0,28,E08000035
68H0488,422947,443102,2,17/8/2019,8:35,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,0,1,24,E08000035
68I0453,422377,441728,2,18/8/2019,5:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,2,25,E08000035
68I0453,422377,441728,2,18/8/2019,5:50,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,2,25,E08000035
68I0453,422377,441728,2,18/8/2019,5:50,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,2,25,E08000035
68I0453,422377,441728,2,18/8/2019,5:50,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,2,25,E08000035
68I0870,431396,429436,2,16/8/2019,23:11,Unclassified,Wet/Damp,Unknown,Fine,Car,Driver/Rider,Slight,1,0,30,E08000035
68I0949,429316,440221,2,18/8/2019,18:15,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,38,E08000035
68I1603,420021,444947,1,18/8/2019,15:30,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,25,E08000035
68J0223,442220,434606,1,19/8/2019,6:20,Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Serious,0,2,22,E08000035
68J0223,442220,434606,1,19/8/2019,6:20,Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,22,E08000035
68J0493,435850,433766,2,19/8/2019,10:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Serious,1,0,89,E08000035
68J0795,431028,434897,2,7/7/2019,17:45,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,37,E08000035
68J0975,424446,433731,1,19/8/2019,14:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,24,E08000035
68J0975,424446,433731,1,19/8/2019,14:15,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,24,E08000035
68J1722,430064,433785,2,19/8/2019,17:45,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,26,E08000035
68K0467,440139,426162,3,20/8/2019,9:24,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,44,E08000035
68K1436,434620,441231,2,20/8/2019,17:51,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Serious,3,0,32,E08000035
68K1436,434620,441231,2,20/8/2019,17:51,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,0,32,E08000035
68K1436,434620,441231,2,20/8/2019,17:51,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,0,32,E08000035
68L0468,425897,426615,2,21/8/2019,9:54,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,47,E08000035
68L0468,425897,426615,2,21/8/2019,9:54,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,47,E08000035
68L1264,443633,436749,2,21/8/2019,17:12,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,52,E08000035
68L1264,443633,436749,2,21/8/2019,17:12,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,52,E08000035
68L1423,440441,446650,3,21/8/2019,17:56,Primary Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,3,0,28,E08000035
68L1423,440441,446650,3,21/8/2019,17:56,Primary Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,3,0,28,E08000035
68L1423,440441,446650,3,21/8/2019,17:56,Primary Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,3,0,28,E08000035
68L1479,420447,434296,2,21/8/2019,18:16,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,15,E08000035
68L1548,425778,434409,1,21/8/2019,18:55,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc or less),Pedestrian,Slight,1,1,23,E08000035
68L1548,425778,434409,1,21/8/2019,18:55,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc or less),Pedestrian,Slight,1,1,23,E08000035
68L1670,428078,431596,1,21/8/2019,19:41,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Slight,1,0,23,E08000035
68L1749,430068,433810,2,21/8/2019,17:30,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,24,E08000035
